Started Date,Completed Date,,name,Des,expense,co,value
2023-05-20 21:43:44,2023-05-21 13:19:15,,Lifestyle,Sw2 Minimarket Ltd,-4.99,4.99,4.99
2023-05-20 10:25:11,2023-05-21 14:37:24,,Lifestyle,Sw2 Minimarket Ltd,-4.99,4.99,4.99
2023-05-21 14:08:41,2023-05-22 14:21:46,,Lifestyle,Sw2 Minimarket Ltd,-4.99,4.99,4.99
2023-05-22 08:09:16,2023-05-23 14:17:35,,Lifestyle,Sw2 Minimarket Ltd,-4.99,4.99,4.99
2023-05-23 15:31:23,2023-05-24 12:47:47,,Lifestyle,Mountain Express,-6.99,6.99,6.99
2023-05-30 20:29:31,2023-05-31 15:43:51,,Lifestyle,Sw2 Minimarket Ltd,-4.99,4.99,4.99
2023-05-04 12:12:12,2023-05-05 15:06:41,,Other,Imperial College Londo,-7.63,7.63,7.63
2023-05-05 15:04:49,2023-05-06 15:13:59,,Other,Fox Excel,-6.40,6.40,6.40
2023-05-05 12:52:22,2023-05-06 16:16:07,,Other,Al Arez South Kensingt,-16.95,16.95,16.95
2023-05-11 16:38:34,2023-05-12 13:36:14,,Other,Imperial College Londo,-5.18,5.18,5.18
2023-05-11 17:04:23,2023-05-12 13:48:30,,Other,Zettle_*royal College,-2.00,2.00,2.00
2023-05-12 13:47:50,2023-05-13 14:59:20,,Other,Sp Shoprca,-11.65,11.65,11.65
2023-05-12 12:14:45,2023-05-13 15:00:53,,Other,Fresco Deli,-8.95,8.95,8.95
2023-05-12 17:55:43,2023-05-13 15:18:53,,Other,Seven Eleven Foods,-11.00,11.00,11.00
2023-05-13 14:12:26,2023-05-14 13:45:43,,Other,Brighton Marine Palace,-3.50,3.50,3.50
2023-05-16 11:27:10,2023-05-17 14:59:44,,Other,Ecsi Ltd,-17.00,17.00,17.00
2023-05-17 17:51:40,2023-05-18 15:01:12,,Other,Pyd*duke Of Battersea,-5.71,5.71,5.71
2023-05-17 18:47:41,2023-05-18 15:01:12,,Other,Pyd*duke Of Battersea,-5.71,5.71,5.71
2023-05-18 16:03:25,2023-05-19 15:11:34,,Other,Sq *japan H.l. Enterprise,-9.90,9.90,9.90
2023-05-19 22:42:14,2023-05-19 22:42:14,,Other,Revolut Ltd,-10.00,10.00,10.00
2023-05-20 21:17:05,2023-05-20 21:17:05,,Other,Revolut Ltd,-13.40,13.40,13.40
2023-05-23 05:11:31,2023-05-24 13:54:27,,Other,amazon.co.uk,-12.34,12.34,12.34
2023-05-02 22:38:15,2023-05-02 22:38:18,,Savings,To Hugo Garcia Garcia,-40.00,0.10,40.00
2023-05-02 10:11:37,2023-05-02 10:11:37,,Savings,Exchanged to EUR Savings,-1.20,0.10,1.20
2023-05-02 11:45:50,2023-05-02 11:45:50,,Savings,Exchanged to EUR Savings,-1.95,0.10,1.95
2023-05-02 15:45:42,2023-05-02 15:45:42,,Savings,Exchanged to EUR Savings,-1.35,0.10,1.35
2023-05-02 21:22:16,2023-05-02 21:22:16,,Savings,Exchanged to EUR Savings,-0.03,0.10,0.03
2023-05-03 01:05:05,2023-05-03 01:05:05,,Savings,Exchanged to EUR Savings,-1.50,0.10,1.50
2023-05-04 08:26:58,2023-05-04 08:26:58,,Savings,Exchanged to EUR Savings,-0.03,0.10,0.03
2023-05-04 12:12:12,2023-05-04 12:12:12,,Savings,Exchanged to EUR Savings,-1.11,0.10,1.11
2023-05-04 13:04:35,2023-05-04 13:04:35,,Savings,Exchanged to EUR Savings,-1.20,0.10,1.20
2023-05-05 01:09:14,2023-05-05 01:09:14,,Savings,Exchanged to EUR Savings,-0.75,0.10,0.75
2023-05-05 08:08:37,2023-05-05 08:08:37,,Savings,Exchanged to EUR Savings,-0.60,0.10,0.60
2023-05-05 10:09:31,2023-05-05 10:09:31,,Savings,Exchanged to EUR Savings,-1.20,0.10,1.20
2023-05-05 12:52:23,2023-05-05 12:52:23,,Savings,Exchanged to EUR Savings,-0.15,0.10,0.15
2023-05-05 15:04:50,2023-05-05 15:04:50,,Savings,Exchanged to EUR Savings,-1.80,0.10,1.80
2023-05-06 01:03:20,2023-05-06 01:03:20,,Savings,Exchanged to EUR Savings,-1.20,0.10,1.20
